Date,Symbol,Open,High,Low,Close,Volume
2025-07-15,FPT,120.5,122.0,119.5,121.7,450000
2025-07-16,FPT,121.7,123.2,120.8,122.5,380000
2025-07-17,FPT,122.5,124.1,121.9,123.8,420000
2025-07-18,FPT,123.8,125.0,122.5,124.2,350000
2025-07-19,FPT,124.2,125.5,123.0,124.8,410000
2025-07-22,FPT,124.8,126.2,124.0,125.5,390000
2025-07-23,FPT,125.5,127.0,124.8,126.3,440000
2025-07-24,FPT,126.3,127.8,125.5,127.1,360000
2025-07-25,FPT,127.1,128.5,126.2,127.9,380000
2025-07-26,FPT,127.9,129.2,127.0,128.4,420000
2025-07-29,FPT,128.4,129.8,127.5,129.0,350000
2025-07-30,FPT,129.0,130.5,128.2,129.7,410000
2025-07-31,FPT,129.7,131.0,128.8,130.2,390000
2025-08-01,FPT,130.2,131.8,129.5,131.0,440000
2025-08-02,FPT,131.0,132.5,130.2,131.8,360000
2025-08-05,FPT,131.8,133.2,131.0,132.4,380000
2025-08-06,FPT,132.4,133.8,131.5,133.0,420000
2025-08-07,FPT,133.0,134.5,132.2,133.7,350000
2025-08-08,FPT,133.7,135.0,132.8,134.2,410000
2025-08-09,FPT,134.2,135.8,133.5,135.0,390000
2025-08-12,FPT,135.0,136.5,134.2,135.8,440000
2025-08-13,FPT,135.8,137.2,135.0,136.4,360000
2025-08-14,FPT,136.4,137.8,135.5,137.0,380000
2025-08-15,FPT,137.0,138.5,136.2,137.7,420000
2025-08-16,FPT,137.7,139.0,136.8,138.2,350000
2025-08-19,FPT,138.2,139.8,137.5,139.0,410000
2025-08-20,FPT,139.0,140.5,138.2,139.7,390000
2025-08-21,FPT,139.7,141.0,138.8,140.2,440000
2025-08-22,FPT,140.2,141.8,139.5,141.0,360000
2025-08-23,FPT,141.0,142.5,140.2,141.8,380000
2025-08-26,FPT,141.8,143.2,141.0,142.4,420000
2025-08-27,FPT,142.4,143.8,141.5,143.0,350000
2025-08-28,FPT,143.0,144.5,142.2,143.7,410000
2025-08-29,FPT,143.7,145.0,142.8,144.2,390000
2025-08-30,FPT,144.2,145.8,143.5,145.0,440000
2025-09-02,FPT,145.0,146.5,144.2,145.8,360000
2025-09-03,FPT,145.8,147.2,145.0,146.4,380000
2025-09-04,FPT,146.4,147.8,145.5,147.0,420000
2025-09-05,FPT,147.0,148.5,146.2,147.7,350000
2025-09-06,FPT,147.7,149.0,146.8,148.2,410000
2025-09-09,FPT,148.2,149.8,147.5,149.0,390000
2025-09-10,FPT,149.0,150.5,148.2,149.7,440000
2025-09-11,FPT,149.7,151.0,148.8,150.2,360000
2025-09-12,FPT,150.2,151.8,149.5,151.0,380000
2025-09-13,FPT,151.0,152.5,150.2,151.8,420000
2025-09-16,FPT,151.8,153.2,151.0,152.4,350000
2025-09-17,FPT,152.4,153.8,151.5,153.0,410000
2025-09-18,FPT,153.0,154.5,152.2,153.7,390000
2025-09-19,FPT,153.7,155.0,152.8,154.2,440000
2025-09-20,FPT,154.2,155.8,153.5,155.0,360000
2025-09-23,FPT,155.0,156.5,154.2,155.8,380000
2025-09-24,FPT,155.8,157.2,155.0,156.4,420000
2025-09-25,FPT,156.4,157.8,155.5,157.0,350000
2025-09-26,FPT,157.0,158.5,156.2,157.7,410000
2025-09-27,FPT,157.7,159.0,156.8,158.2,390000
2025-09-30,FPT,158.2,159.8,157.5,159.0,440000
2025-10-01,FPT,159.0,160.5,158.2,159.7,360000
2025-10-02,FPT,159.7,161.0,158.8,160.2,380000
2025-10-03,FPT,160.2,161.8,159.5,161.0,420000
2025-10-04,FPT,161.0,162.5,160.2,161.8,350000
2025-10-07,FPT,161.8,163.2,161.0,162.4,410000
2025-10-08,FPT,162.4,163.8,161.5,163.0,390000
2025-10-09,FPT,163.0,164.5,162.2,163.7,440000
2025-10-10,FPT,163.7,165.0,162.8,164.2,360000
2025-10-11,FPT,164.2,165.8,163.5,165.0,380000
2025-10-14,FPT,165.0,166.5,164.2,165.8,420000
