Date,Symbol,Open,High,Low,Close,Volume
2023-01-20,GAS,85.44,86.04,84.92,85.44,3872727
2023-01-21,GAS,85.83,86.22,85.03,85.69,3779479
2023-01-22,GAS,85.42,85.81,84.5,85.2,4876536
2023-01-23,GAS,85.71,86.57,85.22,85.88,1347695
2023-01-24,GAS,87.39,87.88,86.92,87.21,5101911
2023-01-25,GAS,88.21,89.01,88.02,88.41,3535168
2023-01-26,GAS,83.26,83.54,82.65,82.93,2309923
2023-01-27,GAS,82.21,82.65,81.56,82.29,2461758
2023-01-28,GAS,80.65,81.49,80.14,80.95,1115980
2023-01-29,GAS,81.15,81.92,80.52,81.61,2878874
2023-01-30,GAS,81.07,81.85,80.77,81.17,1463664
2023-01-31,GAS,79.57,80.08,78.86,79.56,944586
2023-02-01,GAS,80.7,81.34,79.94,80.61,2906514
2023-02-02,GAS,78.91,79.69,78.63,79.06,2724066
2023-02-03,GAS,81.12,81.73,80.74,81.03,4625329
2023-02-04,GAS,80.35,80.72,79.9,80.4,3374147
2023-02-05,GAS,79.89,80.68,78.94,79.7,1728761
2023-02-06,GAS,77.32,77.77,76.94,77.36,4332224
2023-02-07,GAS,75.99,76.49,75.83,76.09,979174
2023-02-08,GAS,76.7,77.19,76.16,76.85,1368902
2023-02-09,GAS,75.05,75.6,74.34,75.06,4668917
2023-02-10,GAS,75.89,76.54,75.25,75.95,1182480
2023-02-11,GAS,75.96,76.48,75.31,76.12,4336346
2023-02-12,GAS,76.39,77.07,75.66,76.46,2434734
2023-02-13,GAS,75.61,75.89,75.16,75.43,4909391
2023-02-14,GAS,74.34,74.84,74.01,74.43,4635792
2023-02-15,GAS,74.59,74.8,73.85,74.6,1853965
2023-02-16,GAS,75.84,76.18,75.47,75.79,4861476
2023-02-17,GAS,76.92,77.25,76.27,76.87,3475260
2023-02-18,GAS,76.8,77.16,75.82,76.57,3251807
2023-02-19,GAS,75.59,76.06,74.99,75.88,2009756
2023-02-20,GAS,75.9,76.75,75.65,76.03,1621626
2023-02-21,GAS,74.1,75.16,73.37,74.48,1112150
2023-02-22,GAS,73.33,74.12,72.6,73.48,2886347
2023-02-23,GAS,74.75,75.46,74.44,74.71,2240598
2023-02-24,GAS,73.49,74.06,73.13,73.48,3032287
2023-02-25,GAS,75.85,76.61,75.03,75.63,1248136
2023-02-26,GAS,76.55,76.76,75.81,76.52,2466396
2023-02-27,GAS,73.34,73.49,72.66,73.16,1838400
2023-02-28,GAS,71.31,71.99,71.03,71.42,4980783
2023-03-01,GAS,71.17,71.32,70.76,71.14,1767871
2023-03-02,GAS,72.4,72.88,72.05,72.23,4346175
2023-03-03,GAS,72.66,73.21,72.17,72.43,1465157
2023-03-04,GAS,70.11,70.73,69.58,70.1,3686062
2023-03-05,GAS,71.08,71.51,70.83,70.99,4734905
2023-03-06,GAS,70.35,70.61,69.82,70.33,2109173
2023-03-07,GAS,70.25,70.86,69.51,70.11,4313302
2023-03-08,GAS,69.94,70.23,69.48,69.86,1566399
2023-03-09,GAS,69.73,69.92,69.25,69.76,1395610
2023-03-10,GAS,69.21,69.63,68.64,68.79,3625323
2023-03-11,GAS,66.08,66.78,65.49,66.26,4492706
2023-03-12,GAS,66.05,66.42,65.73,65.96,2049348
2023-03-13,GAS,66.37,66.96,65.93,66.38,2134903
2023-03-14,GAS,65.58,65.74,65.15,65.45,2684914
2023-03-15,GAS,64.66,65.04,64.42,64.7,4687546
2023-03-16,GAS,65.29,65.79,64.77,65.52,1288822
2023-03-17,GAS,67.14,67.76,66.39,66.9,2086490
2023-03-18,GAS,66.65,66.93,65.94,66.43,3686456
2023-03-19,GAS,65.34,65.98,65.21,65.44,2626189
2023-03-20,GAS,65.46,66.0,64.81,65.39,1454947
2023-03-21,GAS,67.21,67.98,66.85,67.37,3683684
2023-03-22,GAS,65.38,65.66,64.86,65.45,3399092
2023-03-23,GAS,65.38,65.97,64.76,65.21,2917922
2023-03-24,GAS,64.47,65.03,63.98,64.55,1673355
2023-03-25,GAS,65.64,66.48,65.1,65.89,3082901
2023-03-26,GAS,64.9,65.64,64.58,65.12,1644758
2023-03-27,GAS,65.97,66.21,65.65,65.99,1878356
2023-03-28,GAS,65.16,65.48,64.6,64.89,2627903
2023-03-29,GAS,64.55,64.88,64.33,64.69,1278029
2023-03-30,GAS,63.8,64.38,63.16,63.71,2471946
2023-03-31,GAS,63.38,63.92,62.93,63.47,4307996
2023-04-01,GAS,63.66,64.29,63.2,63.72,4693847
2023-04-02,GAS,60.44,60.95,60.17,60.38,2064439
2023-04-03,GAS,62.25,62.44,61.95,62.27,2489768
2023-04-04,GAS,62.39,62.85,61.78,62.19,2359902
2023-04-05,GAS,60.47,60.85,59.93,60.37,4958164
2023-04-06,GAS,59.22,59.71,58.37,58.96,3305599
2023-04-07,GAS,59.75,60.0,59.48,59.73,2251969
2023-04-08,GAS,57.76,58.06,57.4,57.91,5139218
2023-04-09,GAS,58.54,59.05,58.23,58.72,3062150
2023-04-10,GAS,57.37,57.66,56.8,57.37,2703582
2023-04-11,GAS,56.53,56.77,56.34,56.55,4094036
2023-04-12,GAS,54.45,54.71,54.18,54.36,4127651
2023-04-13,GAS,54.96,55.34,54.59,54.96,3092455
2023-04-14,GAS,56.7,57.22,56.21,56.65,3224754
2023-04-15,GAS,54.86,55.06,54.26,54.72,1006982
2023-04-16,GAS,54.64,54.92,54.14,54.72,1520303
2023-04-17,GAS,55.41,55.98,54.95,55.55,3648196
2023-04-18,GAS,54.39,54.68,53.98,54.26,2287454
2023-04-19,GAS,56.69,57.16,56.03,56.5,1160239
2023-04-20,GAS,57.22,57.34,56.77,57.21,1954673
2023-04-21,GAS,57.31,57.55,56.87,57.29,2209511
2023-04-22,GAS,56.51,56.92,56.22,56.48,3481320
2023-04-23,GAS,57.1,57.67,56.8,57.08,1059164
2023-04-24,GAS,57.93,58.39,57.55,58.05,2314570
2023-04-25,GAS,57.76,58.14,57.35,57.8,812844
2023-04-26,GAS,58.85,59.46,58.54,59.23,1605995
2023-04-27,GAS,57.28,57.65,56.81,57.24,3909698
2023-04-28,GAS,57.41,57.62,56.76,57.27,985918
2023-04-29,GAS,58.88,59.02,58.64,58.9,5096036
2023-04-30,GAS,56.13,56.59,55.75,56.15,3970194
2023-05-01,GAS,56.48,56.89,56.26,56.62,1863748
2023-05-02,GAS,58.13,58.62,57.95,58.12,5179605
2023-05-03,GAS,56.76,56.98,56.53,56.75,4640778
2023-05-04,GAS,55.55,56.23,55.38,55.71,4948065
2023-05-05,GAS,54.17,54.62,53.73,54.06,2127299
2023-05-06,GAS,55.39,55.56,55.2,55.41,2550405
2023-05-07,GAS,55.45,55.79,54.88,55.34,888908
2023-05-08,GAS,55.27,55.71,54.93,55.16,3373077
2023-05-09,GAS,53.94,54.35,53.41,53.95,1935820
2023-05-10,GAS,53.77,54.34,53.32,53.85,4081733
2023-05-11,GAS,54.21,54.44,53.69,54.26,2283849
2023-05-12,GAS,53.24,53.39,52.62,53.11,2791494
2023-05-13,GAS,52.76,52.89,52.45,52.75,2277821
2023-05-14,GAS,51.25,51.39,51.06,51.21,1322732
2023-05-15,GAS,50.48,50.99,50.31,50.61,2825433
2023-05-16,GAS,49.58,49.81,49.23,49.6,3532442
2023-05-17,GAS,49.47,49.92,49.05,49.4,4190896
2023-05-18,GAS,49.44,49.73,49.26,49.6,2135595
2023-05-19,GAS,49.55,49.92,49.39,49.51,2940964
2023-05-20,GAS,49.18,49.3,48.86,49.2,1611230
2023-05-21,GAS,48.99,49.3,48.86,49.08,4728441
2023-05-22,GAS,49.71,50.18,49.47,49.82,1551856
2023-05-23,GAS,49.77,49.9,49.19,49.56,4853232
2023-05-24,GAS,49.31,49.44,48.88,49.33,1636880
2023-05-25,GAS,49.4,49.75,49.17,49.47,1676041
2023-05-26,GAS,49.55,50.03,49.36,49.5,3403246
2023-05-27,GAS,50.33,50.78,49.84,50.48,1391473
2023-05-28,GAS,49.53,49.94,49.27,49.58,4107462
2023-05-29,GAS,49.45,49.55,49.18,49.37,3618167
2023-05-30,GAS,49.19,49.47,48.75,49.33,4562937
2023-05-31,GAS,49.57,49.84,49.38,49.66,4716366
2023-06-01,GAS,50.39,50.6,49.8,50.24,4856703
2023-06-02,GAS,49.2,49.57,48.83,49.12,858357
2023-06-03,GAS,47.37,47.89,47.03,47.51,3227510
2023-06-04,GAS,47.93,48.44,47.8,47.97,3534120
2023-06-05,GAS,47.93,48.17,47.34,47.66,2562468
2023-06-06,GAS,47.06,47.17,46.9,47.06,4409948
2023-06-07,GAS,44.72,44.88,44.58,44.73,4770324
2023-06-08,GAS,45.26,45.46,44.88,45.19,4054565
2023-06-09,GAS,44.84,44.99,44.6,44.72,2729004
2023-06-10,GAS,44.19,44.41,43.99,44.25,1091784
2023-06-11,GAS,45.2,45.53,44.86,45.13,2988892
2023-06-12,GAS,46.15,46.53,45.72,46.13,1951802
2023-06-13,GAS,46.82,46.92,46.49,46.78,3090467
2023-06-14,GAS,45.67,46.15,45.4,45.93,1604133
2023-06-15,GAS,45.96,46.26,45.74,46.05,2385396
2023-06-16,GAS,46.41,46.77,46.22,46.47,1796076
2023-06-17,GAS,46.3,46.46,45.92,46.24,2621841
2023-06-18,GAS,46.73,47.02,46.44,46.61,986480
2023-06-19,GAS,47.34,47.52,46.89,47.28,4720757
2023-06-20,GAS,47.28,47.69,47.12,47.4,3349554
2023-06-21,GAS,46.92,47.28,46.44,46.88,2283289
2023-06-22,GAS,46.65,46.93,46.31,46.63,2955873
2023-06-23,GAS,48.8,48.92,48.56,48.72,2564277
2023-06-24,GAS,49.4,49.68,49.25,49.43,3054379
2023-06-25,GAS,49.79,50.27,49.63,49.85,2858186
2023-06-26,GAS,50.91,51.08,50.59,50.96,2661802
2023-06-27,GAS,50.31,50.45,50.15,50.26,1145767
2023-06-28,GAS,51.2,51.57,50.79,51.07,1810800
2023-06-29,GAS,51.6,51.72,51.06,51.56,4750358
