Date,Symbol,Open,High,Low,Close,Volume
2023-01-20,PNJ,86.82,87.97,86.61,87.38,3820512
2023-01-21,PNJ,91.02,91.49,90.68,90.89,2248988
2023-01-22,PNJ,92.37,92.81,91.81,92.53,2233711
2023-01-23,PNJ,92.27,92.82,91.67,92.35,1268029
2023-01-24,PNJ,95.49,95.69,94.45,95.27,4376259
2023-01-25,PNJ,94.83,95.19,94.49,94.97,4644516
2023-01-26,PNJ,93.34,94.1,92.62,93.34,3643332
2023-01-27,PNJ,94.65,95.2,94.43,94.82,1871847
2023-01-28,PNJ,94.26,95.58,94.02,94.8,4346766
2023-01-29,PNJ,92.65,93.87,92.03,92.99,4492456
2023-01-30,PNJ,92.49,93.32,91.61,92.43,4643234
2023-01-31,PNJ,92.08,92.64,91.42,92.14,4314665
2023-02-01,PNJ,91.91,92.44,91.52,91.97,3245427
2023-02-02,PNJ,93.59,93.87,92.55,93.41,1864383
2023-02-03,PNJ,93.93,94.25,93.12,93.61,1629895
2023-02-04,PNJ,96.92,97.5,96.21,96.87,1385581
2023-02-05,PNJ,96.4,97.27,96.18,96.41,2363634
2023-02-06,PNJ,96.72,97.37,95.81,96.67,4653992
2023-02-07,PNJ,97.19,98.05,95.92,96.81,3594006
2023-02-08,PNJ,99.4,100.32,98.37,99.28,1227466
2023-02-09,PNJ,98.74,99.71,97.88,98.76,2124581
2023-02-10,PNJ,101.14,102.09,100.66,100.96,2256683
2023-02-11,PNJ,98.8,99.55,98.03,98.87,5056710
2023-02-12,PNJ,96.64,97.51,96.23,97.04,1260325
2023-02-13,PNJ,97.95,98.32,96.75,97.6,2695060
2023-02-14,PNJ,97.71,98.29,96.77,97.85,2444126
2023-02-15,PNJ,100.23,100.66,100.03,100.27,2549448
2023-02-16,PNJ,101.63,102.31,101.09,101.94,4957793
2023-02-17,PNJ,100.38,100.82,99.97,100.34,2516667
2023-02-18,PNJ,98.64,99.53,98.03,98.52,3362326
2023-02-19,PNJ,101.75,102.74,101.26,101.74,3659323
2023-02-20,PNJ,104.48,104.86,103.94,104.56,1694057
2023-02-21,PNJ,107.88,108.14,106.4,107.45,3280928
2023-02-22,PNJ,108.03,108.37,107.39,108.01,1159110
2023-02-23,PNJ,109.09,109.54,108.4,109.22,4927320
2023-02-24,PNJ,112.29,112.82,111.55,112.06,3083616
2023-02-25,PNJ,109.8,110.81,109.52,110.0,3446299
2023-02-26,PNJ,110.68,111.66,109.87,110.33,3154488
2023-02-27,PNJ,109.29,110.28,108.67,108.99,1364282
2023-02-28,PNJ,106.91,107.33,106.4,106.9,3245349
2023-03-01,PNJ,106.4,107.46,105.76,106.8,4098098
2023-03-02,PNJ,105.88,107.07,105.17,106.45,4633618
2023-03-03,PNJ,108.46,109.1,107.42,108.05,966433
2023-03-04,PNJ,107.4,107.66,107.0,107.35,2507047
2023-03-05,PNJ,108.97,109.22,108.68,108.93,2760903
2023-03-06,PNJ,105.41,106.22,104.46,105.71,2885343
2023-03-07,PNJ,107.82,108.49,106.9,108.26,1925419
2023-03-08,PNJ,107.11,107.5,105.86,106.92,2985996
2023-03-09,PNJ,106.77,107.26,105.99,106.43,2691362
2023-03-10,PNJ,107.24,107.46,106.29,107.06,2805655
2023-03-11,PNJ,107.82,108.31,106.77,107.72,2625133
2023-03-12,PNJ,106.65,107.71,106.25,107.12,2713562
2023-03-13,PNJ,107.42,108.04,107.03,107.46,850965
2023-03-14,PNJ,107.15,107.44,106.16,107.0,4456839
2023-03-15,PNJ,106.64,107.9,106.21,106.83,4744802
2023-03-16,PNJ,106.76,107.99,105.93,106.96,1152316
2023-03-17,PNJ,106.18,106.95,105.9,106.41,2819392
2023-03-18,PNJ,106.8,107.64,106.3,106.69,4779894
2023-03-19,PNJ,108.75,109.23,108.31,108.97,3457596
2023-03-20,PNJ,110.57,110.8,109.85,110.56,1294591
2023-03-21,PNJ,109.93,111.09,109.51,110.03,2081804
2023-03-22,PNJ,110.51,110.98,109.78,110.59,4007146
2023-03-23,PNJ,109.95,110.74,108.68,109.69,2288783
2023-03-24,PNJ,110.19,110.98,109.17,110.17,1703523
2023-03-25,PNJ,112.36,113.24,111.76,112.71,3228845
2023-03-26,PNJ,114.64,115.59,113.88,114.42,4757487
2023-03-27,PNJ,114.98,115.6,113.66,114.41,2401924
2023-03-28,PNJ,117.87,118.58,117.1,117.98,3977026
2023-03-29,PNJ,116.78,117.69,115.9,116.74,4336625
2023-03-30,PNJ,115.47,116.29,114.33,115.2,2577897
2023-03-31,PNJ,115.89,116.74,114.95,115.49,3594896
2023-04-01,PNJ,117.9,118.82,116.87,117.57,4071132
2023-04-02,PNJ,121.05,121.81,120.61,121.13,3968526
2023-04-03,PNJ,124.81,125.88,124.3,124.81,4077731
2023-04-04,PNJ,124.08,125.27,123.38,123.9,4495208
2023-04-05,PNJ,120.42,120.92,119.39,120.41,2681257
2023-04-06,PNJ,125.34,126.16,124.03,124.81,1116269
2023-04-07,PNJ,122.3,122.59,121.55,122.06,2548945
2023-04-08,PNJ,118.65,120.12,117.49,119.0,3614007
2023-04-09,PNJ,120.73,121.54,119.55,121.0,1571640
2023-04-10,PNJ,122.79,123.67,122.17,122.91,1099726
2023-04-11,PNJ,122.61,123.26,121.65,122.54,2631693
2023-04-12,PNJ,124.17,125.49,122.95,124.41,1545068
2023-04-13,PNJ,125.11,126.0,124.54,125.67,842053
2023-04-14,PNJ,124.69,125.73,124.34,125.13,4212311
2023-04-15,PNJ,124.9,125.9,123.3,124.4,1242199
2023-04-16,PNJ,124.26,124.62,123.14,124.29,3815806
2023-04-17,PNJ,123.7,124.71,123.38,123.79,4466719
2023-04-18,PNJ,124.49,125.64,123.2,124.32,1201069
2023-04-19,PNJ,124.27,125.01,123.33,124.25,3387657
2023-04-20,PNJ,125.01,125.91,124.68,124.98,4479274
2023-04-21,PNJ,125.88,127.36,124.75,126.2,4917689
2023-04-22,PNJ,125.0,126.02,124.39,125.18,2593684
2023-04-23,PNJ,124.67,125.5,123.75,124.97,1793911
2023-04-24,PNJ,126.21,126.61,125.04,126.34,3031190
2023-04-25,PNJ,124.27,125.54,123.04,124.31,1865119
2023-04-26,PNJ,120.51,120.97,119.37,120.69,3589280
2023-04-27,PNJ,121.72,122.8,120.42,121.62,3929813
2023-04-28,PNJ,119.21,120.63,118.62,119.66,5130351
2023-04-29,PNJ,117.24,117.97,116.1,116.99,4876436
2023-04-30,PNJ,116.68,117.54,115.5,116.28,2112987
2023-05-01,PNJ,111.16,111.92,110.4,111.31,4664363
2023-05-02,PNJ,118.27,119.38,117.98,118.68,3082449
2023-05-03,PNJ,119.43,119.95,118.38,119.26,2833168
2023-05-04,PNJ,121.71,122.46,120.95,121.32,1519301
2023-05-05,PNJ,124.39,124.7,124.14,124.4,1418468
2023-05-06,PNJ,126.27,126.85,125.99,126.32,2465130
2023-05-07,PNJ,127.98,128.69,127.13,127.95,2891965
2023-05-08,PNJ,128.0,128.65,127.44,127.99,2794269
2023-05-09,PNJ,129.74,130.65,129.42,129.69,1454436
2023-05-10,PNJ,132.61,133.12,131.52,132.2,4622587
2023-05-11,PNJ,128.68,129.58,127.32,128.53,3132152
2023-05-12,PNJ,125.61,126.68,124.67,125.6,1029534
2023-05-13,PNJ,124.32,125.14,123.55,124.24,1433681
2023-05-14,PNJ,124.29,125.08,122.95,124.02,3406968
2023-05-15,PNJ,125.84,126.26,124.57,125.51,2080487
2023-05-16,PNJ,122.85,123.86,122.6,122.93,3641708
2023-05-17,PNJ,123.33,124.46,122.51,123.53,1234971
2023-05-18,PNJ,124.68,125.06,123.31,124.48,1327763
2023-05-19,PNJ,125.43,126.07,125.03,125.42,4665638
2023-05-20,PNJ,125.54,126.78,124.44,125.42,1429486
2023-05-21,PNJ,124.81,125.22,124.21,124.67,1822911
2023-05-22,PNJ,127.01,127.68,125.97,126.85,3531818
2023-05-23,PNJ,129.18,130.16,127.96,129.25,1614288
2023-05-24,PNJ,126.32,127.63,125.17,126.48,972340
2023-05-25,PNJ,124.76,125.57,123.97,124.4,3782746
2023-05-26,PNJ,123.48,124.35,122.28,123.52,3343778
2023-05-27,PNJ,122.49,123.49,121.89,122.67,4637270
2023-05-28,PNJ,126.75,127.89,126.01,126.6,4342116
2023-05-29,PNJ,125.92,127.22,125.34,126.12,1593225
2023-05-30,PNJ,129.72,130.63,128.55,129.64,3279612
2023-05-31,PNJ,131.94,133.16,131.41,132.2,4880102
