Date,Symbol,Open,High,Low,Close,Volume
2023-01-20,VCB,95.53,96.0,94.84,95.42,1834262
2023-01-21,VCB,95.18,95.51,94.36,95.05,4719051
2023-01-22,VCB,93.97,94.94,93.06,94.01,884910
2023-01-23,VCB,93.65,94.57,93.22,93.78,3525412
2023-01-24,VCB,94.11,94.85,93.52,94.1,3029061
2023-01-25,VCB,94.93,95.69,94.24,95.15,2649034
2023-01-26,VCB,95.36,96.31,94.45,95.25,3885955
2023-01-27,VCB,96.36,96.7,95.91,96.46,1261028
2023-01-28,VCB,95.67,96.54,95.22,95.65,4419030
2023-01-29,VCB,96.74,97.13,96.14,96.92,1326881
2023-01-30,VCB,98.46,99.17,97.52,98.62,2638477
2023-01-31,VCB,97.57,97.99,97.36,97.75,4283865
2023-02-01,VCB,98.26,99.2,97.65,98.58,1791653
2023-02-02,VCB,99.04,99.45,98.05,99.01,4289890
2023-02-03,VCB,97.31,97.93,96.52,97.56,4001531
2023-02-04,VCB,98.05,98.6,97.72,98.27,1890698
2023-02-05,VCB,96.25,97.01,95.93,96.68,3538508
2023-02-06,VCB,96.36,96.82,95.64,96.57,4709110
2023-02-07,VCB,97.45,98.43,96.99,97.46,3956203
2023-02-08,VCB,96.62,97.13,96.01,96.87,3294274
2023-02-09,VCB,95.87,97.11,95.48,96.16,2026059
2023-02-10,VCB,96.0,96.8,95.39,96.06,3576522
2023-02-11,VCB,95.81,96.28,95.29,95.77,3065787
2023-02-12,VCB,93.87,94.73,93.68,94.18,2835072
2023-02-13,VCB,94.99,95.63,94.27,94.63,938089
2023-02-14,VCB,94.01,94.3,93.46,94.02,2069838
2023-02-15,VCB,93.11,93.63,92.44,92.87,1680708
2023-02-16,VCB,92.81,93.54,92.21,92.48,1598518
2023-02-17,VCB,91.02,92.26,90.41,91.38,3999237
2023-02-18,VCB,92.51,93.35,92.02,92.21,3125543
2023-02-19,VCB,91.46,91.69,90.73,91.37,1493359
2023-02-20,VCB,91.13,92.11,90.51,91.32,2660302
2023-02-21,VCB,92.76,93.94,92.49,93.11,4781671
2023-02-22,VCB,93.37,93.99,92.7,93.23,4738746
2023-02-23,VCB,92.62,93.42,91.86,92.77,3677338
2023-02-24,VCB,90.12,90.51,89.46,90.16,2204918
2023-02-25,VCB,90.83,91.59,90.08,90.7,1186112
2023-02-26,VCB,92.58,93.39,92.05,92.35,4360611
2023-02-27,VCB,94.31,94.94,94.06,94.39,4621474
2023-02-28,VCB,95.17,96.06,94.42,95.1,2587602
2023-03-01,VCB,94.5,95.21,93.7,94.07,3474428
2023-03-02,VCB,95.43,95.63,94.82,95.43,3692890
2023-03-03,VCB,95.93,96.28,95.35,95.63,2368637
2023-03-04,VCB,96.59,97.02,95.81,96.8,3338761
2023-03-05,VCB,96.41,97.23,95.88,96.75,2676609
2023-03-06,VCB,98.22,98.8,97.74,98.16,4206913
2023-03-07,VCB,96.51,96.8,95.8,96.5,4830614
2023-03-08,VCB,95.28,96.48,94.5,95.69,2922367
2023-03-09,VCB,96.49,97.5,95.57,96.84,1393304
2023-03-10,VCB,98.53,99.63,98.1,98.65,1504119
2023-03-11,VCB,96.87,97.55,95.82,96.77,2306920
2023-03-12,VCB,97.0,97.41,96.73,97.09,4356493
2023-03-13,VCB,95.44,96.05,94.78,95.63,4213586
2023-03-14,VCB,94.9,96.01,94.6,95.17,902867
2023-03-15,VCB,95.74,96.4,95.47,95.72,3257437
2023-03-16,VCB,95.83,96.66,95.54,96.07,3566406
2023-03-17,VCB,97.47,98.75,97.17,97.86,1857131
2023-03-18,VCB,97.03,97.73,96.38,96.7,3699694
2023-03-19,VCB,96.01,96.26,95.02,95.81,4654734
2023-03-20,VCB,97.36,97.89,97.07,97.3,4249148
2023-03-21,VCB,96.56,97.19,95.95,96.47,4165171
2023-03-22,VCB,93.76,94.63,93.32,93.86,2650762
2023-03-23,VCB,94.12,94.82,93.79,94.13,4181695
2023-03-24,VCB,94.25,94.74,93.99,94.28,1481903
2023-03-25,VCB,95.39,95.93,94.68,95.05,2509466
2023-03-26,VCB,95.72,95.92,94.96,95.63,954610
2023-03-27,VCB,94.19,94.85,93.89,94.18,1447364
2023-03-28,VCB,94.41,95.28,93.33,94.15,4468876
2023-03-29,VCB,95.14,95.84,94.49,94.86,1433484
2023-03-30,VCB,95.16,96.09,94.57,95.11,1422097
2023-03-31,VCB,96.1,97.16,95.84,96.29,1849954
2023-04-01,VCB,96.98,97.42,96.23,96.8,4329674
2023-04-02,VCB,96.72,97.32,95.98,96.58,3869029
2023-04-03,VCB,94.81,95.97,94.56,95.04,4649851
2023-04-04,VCB,93.75,94.03,93.07,93.6,1143576
2023-04-05,VCB,94.66,95.26,93.49,94.36,4960774
2023-04-06,VCB,93.78,94.77,93.36,93.84,3046840
2023-04-07,VCB,95.39,96.06,94.17,94.89,3520093
2023-04-08,VCB,92.16,93.01,91.89,92.27,2673502
2023-04-09,VCB,92.06,92.62,91.0,91.87,3492405
2023-04-10,VCB,95.01,95.88,94.42,94.97,2452764
2023-04-11,VCB,94.57,95.05,94.09,94.71,4579311
2023-04-12,VCB,93.75,94.7,93.41,93.87,1947458
2023-04-13,VCB,95.57,96.22,95.36,95.6,2024754
2023-04-14,VCB,93.96,94.59,92.94,93.79,4123037
2023-04-15,VCB,93.95,95.32,93.51,94.45,3896329
2023-04-16,VCB,93.59,94.33,92.7,93.49,2102246
2023-04-17,VCB,92.39,93.09,91.93,92.44,3479566
2023-04-18,VCB,93.3,94.08,92.52,93.21,1804389
2023-04-19,VCB,93.0,93.8,92.36,93.29,4151779
2023-04-20,VCB,94.47,95.17,93.41,94.32,1662428
2023-04-21,VCB,94.4,95.32,93.38,93.88,3437318
2023-04-22,VCB,93.34,93.87,92.75,93.46,3509267
2023-04-23,VCB,94.57,95.04,93.92,94.79,1563704
2023-04-24,VCB,95.1,95.72,94.76,95.28,2376220
2023-04-25,VCB,95.33,96.25,94.73,95.52,985157
2023-04-26,VCB,95.78,96.9,95.22,96.16,3856488
2023-04-27,VCB,98.15,99.38,97.79,98.52,1321283
2023-04-28,VCB,96.89,97.29,96.52,96.91,1851192
2023-04-29,VCB,97.53,97.88,96.72,97.6,4397022
2023-04-30,VCB,98.63,99.08,97.79,98.65,2814026
2023-05-01,VCB,100.67,101.42,100.17,100.49,3974829
2023-05-02,VCB,98.78,99.64,98.13,98.67,3981620
2023-05-03,VCB,97.35,97.85,96.2,97.12,1588838
2023-05-04,VCB,95.93,96.81,94.94,95.69,4611408
2023-05-05,VCB,94.38,95.13,93.83,94.57,3042872
2023-05-06,VCB,96.84,97.3,95.94,96.49,1193100
2023-05-07,VCB,97.13,98.24,96.5,97.32,3658462
2023-05-08,VCB,98.22,98.96,97.18,98.14,3582750
2023-05-09,VCB,97.42,98.17,97.06,97.37,3668618
2023-05-10,VCB,98.05,98.35,97.57,97.95,4011437
2023-05-11,VCB,99.88,100.49,99.16,99.85,2710540
2023-05-12,VCB,100.85,101.3,99.98,100.91,1077107
2023-05-13,VCB,102.1,102.76,101.28,102.45,3829127
2023-05-14,VCB,103.6,104.6,102.74,103.75,5050570
2023-05-15,VCB,103.99,104.64,103.48,103.8,4092496
2023-05-16,VCB,104.38,105.32,103.92,104.57,2205546
2023-05-17,VCB,104.04,104.3,103.07,103.77,2005391
2023-05-18,VCB,102.58,103.22,101.77,103.0,4424487
2023-05-19,VCB,102.43,103.32,101.43,102.67,838428
2023-05-20,VCB,102.76,103.62,101.68,102.57,3075082
2023-05-21,VCB,104.34,105.13,103.45,104.26,2575799
2023-05-22,VCB,105.0,105.6,104.6,104.85,3268423
2023-05-23,VCB,104.56,105.46,103.78,104.87,3494534
2023-05-24,VCB,105.86,106.45,104.91,105.94,4081163
2023-05-25,VCB,106.84,107.38,106.08,106.75,3388080
2023-05-26,VCB,108.21,109.11,107.0,108.02,1079330
2023-05-27,VCB,108.49,108.93,107.98,108.34,3517965
2023-05-28,VCB,108.45,109.24,108.15,108.47,1268077
2023-05-29,VCB,108.94,109.78,108.52,108.88,1985969
2023-05-30,VCB,108.71,109.36,108.3,108.54,3794660
2023-05-31,VCB,110.8,111.24,109.97,110.72,2696856
2023-06-01,VCB,110.76,111.15,110.04,110.51,2527420
2023-06-02,VCB,111.28,112.25,110.39,111.32,1790291
2023-06-03,VCB,110.77,111.24,109.98,110.5,925635
2023-06-04,VCB,107.76,108.24,106.49,107.39,5139820
2023-06-05,VCB,106.78,107.67,106.03,106.72,1232637
2023-06-06,VCB,108.68,108.94,107.5,108.56,1120154
2023-06-07,VCB,108.53,109.17,108.19,108.69,2668488
2023-06-08,VCB,109.23,110.47,108.69,109.43,3802993
2023-06-09,VCB,109.59,110.36,108.6,109.26,2895378
2023-06-10,VCB,109.58,110.47,108.99,109.52,2107773
2023-06-11,VCB,108.24,109.37,107.28,108.48,3665473
2023-06-12,VCB,108.62,108.92,108.27,108.66,1022267
2023-06-13,VCB,105.82,106.71,105.28,105.61,2582711
2023-06-14,VCB,106.04,106.61,105.72,106.21,3880063
2023-06-15,VCB,106.2,107.12,105.73,106.27,4079283
2023-06-16,VCB,107.26,107.69,106.24,107.41,3638196
2023-06-17,VCB,105.84,106.64,105.12,106.33,2979889
2023-06-18,VCB,106.51,107.2,105.68,106.48,4043914
2023-06-19,VCB,107.82,109.03,107.05,108.0,900614
2023-06-20,VCB,107.0,107.9,106.21,106.95,3242120
2023-06-21,VCB,105.91,106.55,105.22,105.61,4302412
2023-06-22,VCB,104.08,105.32,103.39,104.29,3310273
2023-06-23,VCB,104.48,105.42,104.16,104.41,4354296
2023-06-24,VCB,105.64,106.6,104.41,105.23,2083404
2023-06-25,VCB,105.74,106.6,104.99,105.9,2994641
2023-06-26,VCB,105.11,105.93,104.88,105.13,2086068
2023-06-27,VCB,106.25,106.78,105.68,106.26,4572463
2023-06-28,VCB,106.35,107.17,105.22,106.23,3488577
2023-06-29,VCB,105.59,106.56,105.1,105.86,4531873
2023-06-30,VCB,105.8,106.86,105.05,105.87,808375
2023-07-01,VCB,105.3,106.25,104.95,105.39,4488356
2023-07-02,VCB,104.92,105.96,103.82,104.78,2548507
2023-07-03,VCB,105.93,106.72,105.29,106.13,1850517
2023-07-04,VCB,107.49,108.28,106.79,107.83,4064848
2023-07-05,VCB,106.57,106.84,105.87,106.56,3101831
2023-07-06,VCB,106.77,107.91,106.28,106.88,1158515
2023-07-07,VCB,104.72,105.51,104.04,104.86,975755
2023-07-08,VCB,104.58,105.38,103.19,104.19,2447059
2023-07-09,VCB,104.61,105.42,104.14,104.69,3773749
2023-07-10,VCB,103.74,104.18,103.07,103.66,3213673
2023-07-11,VCB,101.11,101.7,100.4,100.95,2360277
2023-07-12,VCB,101.52,101.87,100.61,101.62,4754251
2023-07-13,VCB,102.15,103.05,101.13,102.53,995449
2023-07-14,VCB,102.32,102.95,101.87,102.35,2560703
2023-07-15,VCB,103.62,104.4,102.99,103.72,3539483
2023-07-16,VCB,102.64,103.29,101.75,102.4,3859526
2023-07-17,VCB,103.0,103.35,101.72,102.68,835711
2023-07-18,VCB,103.21,103.63,102.2,102.71,2520445
2023-07-19,VCB,103.22,103.98,102.52,103.48,964075
2023-07-20,VCB,100.69,101.61,100.33,100.79,4838498
2023-07-21,VCB,100.09,100.95,99.7,99.93,2750532
2023-07-22,VCB,99.17,99.9,98.13,99.09,5002500
2023-07-23,VCB,98.84,99.53,98.07,99.04,1373435
2023-07-24,VCB,99.77,99.97,98.64,99.63,2741443
2023-07-25,VCB,99.54,100.66,99.34,99.7,2888226
2023-07-26,VCB,99.46,100.01,99.16,99.58,3484358
2023-07-27,VCB,98.36,98.84,97.78,98.35,1401461
2023-07-28,VCB,98.27,98.52,97.72,98.25,4343754
2023-07-29,VCB,100.61,101.17,99.99,100.67,5390342
2023-07-30,VCB,100.1,100.74,99.81,100.49,3551454
2023-07-31,VCB,101.95,103.13,101.21,102.23,1891317
2023-08-01,VCB,101.86,102.18,101.04,101.72,4815240
2023-08-02,VCB,101.53,102.14,100.97,101.86,2329350
2023-08-03,VCB,102.71,103.33,101.99,102.86,1681187
2023-08-04,VCB,102.14,102.44,101.15,101.83,4154987
2023-08-05,VCB,102.62,102.89,101.83,102.63,2152374
2023-08-06,VCB,101.73,102.44,101.26,101.88,2621614
2023-08-07,VCB,101.88,102.1,101.29,101.75,2269553
2023-08-08,VCB,93.32,94.01,92.78,93.57,4986320
2023-08-09,VCB,100.52,100.98,99.86,100.31,2514016
2023-08-10,VCB,100.91,101.2,99.91,100.81,3058297
2023-08-11,VCB,99.09,99.58,98.64,99.32,2186020
2023-08-12,VCB,100.48,100.9,99.43,100.36,2353510
2023-08-13,VCB,98.9,99.71,98.51,99.13,2722570
2023-08-14,VCB,99.87,100.4,99.04,99.78,1482168
2023-08-15,VCB,98.91,99.88,97.79,98.66,4669517
2023-08-16,VCB,96.17,96.63,95.88,96.44,4294408
2023-08-17,VCB,94.1,94.92,93.91,94.44,3825900
2023-08-18,VCB,94.47,94.74,94.17,94.41,2023500
2023-08-19,VCB,94.93,95.39,94.62,94.88,3990589
2023-08-20,VCB,93.96,94.81,93.17,94.04,4826426
2023-08-21,VCB,95.1,96.04,94.57,94.82,1786659
2023-08-22,VCB,96.04,97.15,95.77,96.24,5178008
2023-08-23,VCB,97.23,98.2,96.63,97.36,1325543
2023-08-24,VCB,98.02,98.75,96.95,97.9,998421
2023-08-25,VCB,98.33,98.93,97.64,98.11,2818312
2023-08-26,VCB,97.51,98.25,96.96,97.65,3495315
2023-08-27,VCB,97.76,98.64,97.14,97.54,1869490
2023-08-28,VCB,97.38,98.12,96.91,97.45,1740597
2023-08-29,VCB,96.59,97.59,96.37,96.79,2691315
2023-08-30,VCB,94.1,94.94,93.48,94.49,4258737
2023-08-31,VCB,94.89,95.63,94.66,95.15,3177360
2023-09-01,VCB,95.34,96.13,94.85,95.24,1177708
2023-09-02,VCB,97.22,97.76,96.91,97.44,1705609
2023-09-03,VCB,97.95,98.39,97.17,97.95,1347142
2023-09-04,VCB,98.42,99.42,97.51,98.57,3339120
2023-09-05,VCB,97.6,98.71,97.24,97.73,4220253
2023-09-06,VCB,97.06,98.11,96.4,97.17,4418448
2023-09-07,VCB,97.05,97.96,96.69,97.14,3707051
2023-09-08,VCB,94.86,95.43,94.34,94.79,1010200
2023-09-09,VCB,96.1,96.96,95.64,95.91,3169366
2023-09-10,VCB,96.55,97.35,95.78,96.29,1692046
2023-09-11,VCB,96.25,97.29,95.75,96.47,4523889
2023-09-12,VCB,97.18,97.61,96.68,97.38,3235799
2023-09-13,VCB,97.43,97.76,96.74,97.36,3112974
2023-09-14,VCB,97.31,97.74,96.69,97.3,1917707
2023-09-15,VCB,96.92,97.34,96.17,96.85,878385
2023-09-16,VCB,96.45,97.16,96.05,96.71,1988771
2023-09-17,VCB,97.63,98.48,97.15,97.73,2400653
2023-09-18,VCB,99.05,99.82,98.11,98.94,1949810
2023-09-19,VCB,98.09,98.61,97.85,98.19,2868667
2023-09-20,VCB,96.97,97.71,96.22,97.15,1328906
2023-09-21,VCB,96.72,97.7,96.43,96.98,4111432
2023-09-22,VCB,96.45,96.74,95.54,96.4,2205005
2023-09-23,VCB,96.6,96.94,96.13,96.57,853694
2023-09-24,VCB,95.37,96.25,95.18,95.41,3541140
2023-09-25,VCB,96.98,97.18,96.4,96.93,1126085
2023-09-26,VCB,95.73,96.97,95.27,96.13,2556425
2023-09-27,VCB,97.52,98.53,96.76,97.82,4093007
2023-09-28,VCB,96.39,97.2,95.67,96.42,1704659
2023-09-29,VCB,97.21,98.18,96.53,97.23,1277946
2023-09-30,VCB,98.55,99.01,97.59,98.24,1094787
2023-10-01,VCB,97.53,98.37,96.83,97.68,2301929
2023-10-02,VCB,97.39,98.06,96.64,97.41,1934427
