Date,Symbol,Open,High,Low,Close,Volume
2023-01-20,VIC,52.52,53.0,52.2,52.61,2910366
2023-01-21,VIC,51.65,51.89,51.22,51.58,2615198
2023-01-22,VIC,51.44,51.6,50.98,51.4,3803727
2023-01-23,VIC,50.7,51.05,50.35,50.82,3015921
2023-01-24,VIC,52.41,52.55,52.17,52.43,4236004
2023-01-25,VIC,51.63,51.95,51.44,51.65,4384525
2023-01-26,VIC,53.7,54.03,53.32,53.73,3819698
2023-01-27,VIC,52.31,52.92,52.06,52.44,4521815
2023-01-28,VIC,51.2,51.7,50.74,51.3,4034535
2023-01-29,VIC,48.71,48.86,48.35,48.58,4712278
2023-01-30,VIC,49.21,49.4,48.94,49.2,1488290
2023-01-31,VIC,49.0,49.22,48.63,49.09,1207513
2023-02-01,VIC,49.09,49.71,48.88,49.26,1169364
2023-02-02,VIC,49.46,49.72,49.15,49.62,3351176
2023-02-03,VIC,50.88,51.12,50.37,50.8,4973389
2023-02-04,VIC,51.49,51.8,50.94,51.45,3889208
2023-02-05,VIC,50.62,50.9,50.5,50.79,2618948
2023-02-06,VIC,51.81,52.08,51.43,51.66,2921324
2023-02-07,VIC,53.11,53.5,52.63,53.23,5449471
2023-02-08,VIC,53.64,54.16,53.11,53.74,2951064
2023-02-09,VIC,54.52,54.98,54.29,54.49,4931684
2023-02-10,VIC,55.08,55.31,54.78,55.07,2031210
2023-02-11,VIC,55.0,55.54,54.43,54.92,2328328
2023-02-12,VIC,56.11,56.69,55.62,56.17,4178349
2023-02-13,VIC,55.5,55.95,54.95,55.43,4346371
2023-02-14,VIC,54.96,55.5,54.54,54.95,2295855
2023-02-15,VIC,55.97,56.4,55.83,55.97,970827
2023-02-16,VIC,57.99,58.14,57.5,57.87,2732582
2023-02-17,VIC,59.96,60.18,59.78,59.9,3564546
2023-02-18,VIC,60.77,61.14,60.34,60.76,3233522
2023-02-19,VIC,59.89,60.25,59.69,59.96,2386392
2023-02-20,VIC,59.99,60.13,59.6,59.86,4767699
2023-02-21,VIC,58.28,58.63,57.87,58.33,3226057
2023-02-22,VIC,55.49,55.97,55.05,55.72,1366253
2023-02-23,VIC,57.51,58.03,57.07,57.59,2565609
2023-02-24,VIC,55.6,56.13,55.25,55.76,3811582
2023-02-25,VIC,56.06,56.23,55.5,55.96,1825773
2023-02-26,VIC,56.62,57.02,56.16,56.64,3822559
2023-02-27,VIC,56.73,57.01,56.17,56.83,1776371
2023-02-28,VIC,56.05,56.42,55.84,56.02,3825470
2023-03-01,VIC,57.45,57.67,57.09,57.41,1185871
2023-03-02,VIC,57.55,58.24,57.11,57.73,1962153
2023-03-03,VIC,59.44,59.88,59.08,59.44,2261967
2023-03-04,VIC,60.05,60.74,59.51,60.17,3789657
2023-03-05,VIC,59.01,59.56,58.54,59.15,1712928
2023-03-06,VIC,60.62,61.32,60.19,60.77,3205564
2023-03-07,VIC,60.75,61.12,60.19,60.73,4512552
2023-03-08,VIC,60.91,61.35,60.32,60.99,4402885
2023-03-09,VIC,62.09,62.62,61.6,61.99,1710821
2023-03-10,VIC,61.04,61.59,60.69,61.07,1298570
2023-03-11,VIC,62.19,62.77,61.74,62.31,2259734
2023-03-12,VIC,61.87,62.5,61.71,61.97,3569568
2023-03-13,VIC,60.52,60.83,60.14,60.68,4448651
2023-03-14,VIC,60.57,60.8,60.15,60.44,1093702
2023-03-15,VIC,58.75,58.98,58.44,58.79,4889065
2023-03-16,VIC,58.24,58.79,57.86,58.24,3618392
2023-03-17,VIC,59.16,59.45,58.59,58.96,3171463
2023-03-18,VIC,57.83,58.39,57.64,57.86,3822080
2023-03-19,VIC,57.11,57.59,56.85,57.04,2943474
2023-03-20,VIC,58.06,58.5,57.72,58.13,4431734
2023-03-21,VIC,60.44,61.1,60.31,60.56,5395791
2023-03-22,VIC,61.12,61.62,60.83,61.11,1522304
2023-03-23,VIC,63.07,63.24,62.87,63.02,1110461
2023-03-24,VIC,60.39,60.67,60.14,60.3,2560883
2023-03-25,VIC,61.18,61.31,60.52,61.0,2267266
2023-03-26,VIC,62.24,62.64,61.95,62.27,2092033
2023-03-27,VIC,63.98,64.18,63.25,63.81,3161092
2023-03-28,VIC,62.51,62.92,62.13,62.48,961853
2023-03-29,VIC,62.52,63.17,62.07,62.67,2038390
2023-03-30,VIC,61.38,62.1,60.91,61.51,2279103
2023-03-31,VIC,60.75,61.32,60.45,61.02,2698392
2023-04-01,VIC,59.37,59.67,58.91,59.46,4801045
2023-04-02,VIC,60.4,60.61,59.96,60.48,4714121
2023-04-03,VIC,59.95,60.31,59.42,60.01,1370530
2023-04-04,VIC,61.18,61.74,60.57,61.18,4261621
2023-04-05,VIC,61.49,62.17,61.11,61.61,3492311
2023-04-06,VIC,63.24,63.44,62.96,63.15,5327288
2023-04-07,VIC,62.45,62.76,61.83,62.5,3837903
2023-04-08,VIC,62.13,62.6,61.59,62.32,4537284
2023-04-09,VIC,63.67,64.16,63.13,63.82,1284091
2023-04-10,VIC,66.84,67.09,66.48,66.7,2899553
2023-04-11,VIC,65.03,65.46,64.81,65.04,2927299
2023-04-12,VIC,63.31,63.62,63.14,63.42,953494
2023-04-13,VIC,63.44,63.79,63.22,63.35,1910055
2023-04-14,VIC,62.07,62.38,61.42,61.95,910971
2023-04-15,VIC,63.66,64.42,63.53,63.8,4280004
2023-04-16,VIC,62.32,62.66,62.15,62.38,2795731
2023-04-17,VIC,63.5,63.66,62.98,63.31,1197188
2023-04-18,VIC,65.06,65.22,64.76,65.04,1308666
2023-04-19,VIC,65.07,65.76,64.7,65.3,1416624
2023-04-20,VIC,64.96,65.15,64.63,65.02,2654095
2023-04-21,VIC,65.04,65.29,64.61,64.99,2212192
2023-04-22,VIC,64.65,65.26,64.37,64.72,2900314
2023-04-23,VIC,67.65,68.12,67.42,67.62,1453270
2023-04-24,VIC,65.58,66.02,65.23,65.73,3063377
2023-04-25,VIC,65.66,66.13,65.07,65.85,3251467
2023-04-26,VIC,67.2,67.7,66.43,67.05,2547783
2023-04-27,VIC,67.01,67.69,66.43,67.03,2043415
2023-04-28,VIC,68.08,68.73,67.5,68.11,4677054
2023-04-29,VIC,67.97,68.4,67.49,67.96,3520688
2023-04-30,VIC,66.49,66.74,66.2,66.42,4576545
2023-05-01,VIC,66.56,67.21,66.29,66.55,1449432
2023-05-02,VIC,63.66,64.2,63.19,63.6,5535988
2023-05-03,VIC,63.84,64.43,63.39,64.07,4615060
2023-05-04,VIC,63.72,64.0,63.12,63.8,4122440
2023-05-05,VIC,63.72,64.02,63.45,63.74,2715887
2023-05-06,VIC,63.38,63.99,62.94,63.34,2667133
2023-05-07,VIC,62.21,62.9,61.75,62.31,3506787
2023-05-08,VIC,62.53,62.77,62.14,62.63,1227356
2023-05-09,VIC,61.02,61.37,60.53,61.03,3502246
2023-05-10,VIC,63.87,64.43,63.49,63.74,5549569
2023-05-11,VIC,63.82,64.04,63.2,63.79,2238339
2023-05-12,VIC,65.08,65.51,64.79,65.12,4949498
2023-05-13,VIC,61.68,62.21,61.29,61.61,2290709
2023-05-14,VIC,63.72,64.15,63.08,63.69,4307566
2023-05-15,VIC,63.78,64.04,63.39,63.78,2117681
2023-05-16,VIC,65.16,65.75,64.57,65.22,1218704
2023-05-17,VIC,65.3,65.51,64.93,65.25,997614
2023-05-18,VIC,66.7,67.15,66.34,66.64,3010068
2023-05-19,VIC,68.64,69.13,68.38,68.69,4260760
2023-05-20,VIC,67.83,68.34,67.66,67.9,2066207
2023-05-21,VIC,70.02,70.19,69.57,69.97,4077379
2023-05-22,VIC,72.43,73.01,71.7,72.41,1026009
2023-05-23,VIC,73.19,73.82,72.21,72.81,3033907
2023-05-24,VIC,70.24,70.72,69.46,70.11,4908525
2023-05-25,VIC,70.16,70.36,69.61,70.13,1277829
2023-05-26,VIC,71.85,72.28,70.86,71.46,3434831
2023-05-27,VIC,70.76,71.07,70.42,70.62,3591577
2023-05-28,VIC,73.34,73.77,73.0,73.49,2686668
2023-05-29,VIC,74.37,75.05,73.59,74.31,1332300
2023-05-30,VIC,77.75,78.11,76.86,77.53,6017966
2023-05-31,VIC,76.3,76.7,75.61,76.54,1138043
2023-06-01,VIC,78.71,78.97,78.06,78.71,4393628
2023-06-02,VIC,78.17,78.66,77.77,78.15,3265462
2023-06-03,VIC,79.49,80.26,79.07,79.36,3490754
2023-06-04,VIC,80.99,81.35,80.26,81.1,2037417
2023-06-05,VIC,79.75,80.37,79.01,80.02,2487701
2023-06-06,VIC,78.54,79.0,77.83,78.78,5029686
2023-06-07,VIC,78.15,79.18,77.78,78.49,956177
2023-06-08,VIC,78.82,79.0,78.33,78.64,4386104
2023-06-09,VIC,80.18,80.46,79.74,80.03,4206037
2023-06-10,VIC,78.57,78.79,77.97,78.46,2530666
2023-06-11,VIC,80.09,80.42,79.11,79.89,4474175
2023-06-12,VIC,80.61,81.44,80.35,80.65,3234348
2023-06-13,VIC,80.13,80.8,79.47,80.24,1774307
2023-06-14,VIC,82.26,82.98,81.72,82.0,4352777
2023-06-15,VIC,80.87,81.1,80.28,80.9,1498529
2023-06-16,VIC,81.91,82.15,81.36,81.82,3207981
2023-06-17,VIC,81.9,82.19,81.01,81.82,3428732
2023-06-18,VIC,81.98,82.47,80.98,81.79,1202187
