Date,Symbol,Open,High,Low,Close,Volume
2025-07-15,VNM,65.2,66.8,64.5,66.1,320000
2025-07-16,VNM,66.1,67.5,65.2,66.8,280000
2025-07-17,VNM,66.8,68.2,65.8,67.4,310000
2025-07-18,VNM,67.4,68.8,66.5,68.0,290000
2025-07-19,VNM,68.0,69.5,67.2,68.7,330000
2025-07-22,VNM,68.7,70.2,67.8,69.4,270000
2025-07-23,VNM,69.4,70.8,68.5,70.1,300000
2025-07-24,VNM,70.1,71.5,69.2,70.8,320000
2025-07-25,VNM,70.8,72.2,69.8,71.5,280000
2025-07-26,VNM,71.5,72.8,70.5,72.1,310000
2025-07-29,VNM,72.1,73.5,71.2,72.8,290000
2025-07-30,VNM,72.8,74.2,72.0,73.5,330000
2025-07-31,VNM,73.5,74.8,72.5,74.1,270000
2025-08-01,VNM,74.1,75.5,73.2,74.8,300000
2025-08-02,VNM,74.8,76.2,74.0,75.5,320000
2025-08-05,VNM,75.5,76.8,74.5,76.1,280000
2025-08-06,VNM,76.1,77.5,75.2,76.8,310000
2025-08-07,VNM,76.8,78.2,75.8,77.4,290000
2025-08-08,VNM,77.4,78.8,76.5,78.1,330000
2025-08-09,VNM,78.1,79.5,77.2,78.8,270000
2025-08-12,VNM,78.8,80.2,78.0,79.5,300000
2025-08-13,VNM,79.5,80.8,78.5,80.1,320000
2025-08-14,VNM,80.1,81.5,79.2,80.8,280000
2025-08-15,VNM,80.8,82.2,79.8,81.5,310000
2025-08-16,VNM,81.5,82.8,80.5,82.1,290000
2025-08-19,VNM,82.1,83.5,81.2,82.8,330000
2025-08-20,VNM,82.8,84.2,82.0,83.5,270000
2025-08-21,VNM,83.5,84.8,82.5,84.1,300000
2025-08-22,VNM,84.1,85.5,83.2,84.8,320000
2025-08-23,VNM,84.8,86.2,84.0,85.5,280000
2025-08-26,VNM,85.5,86.8,84.5,86.1,310000
2025-08-27,VNM,86.1,87.5,85.2,86.8,290000
2025-08-28,VNM,86.8,88.2,86.0,87.5,330000
2025-08-29,VNM,87.5,88.8,86.5,88.1,270000
2025-08-30,VNM,88.1,89.5,87.2,88.8,300000
2025-09-02,VNM,88.8,90.2,88.0,89.5,320000
2025-09-03,VNM,89.5,90.8,88.5,90.1,280000
2025-09-04,VNM,90.1,91.5,89.2,90.8,310000
2025-09-05,VNM,90.8,92.2,90.0,91.5,290000
2025-09-06,VNM,91.5,92.8,90.5,92.1,330000
2025-09-09,VNM,92.1,93.5,91.2,92.8,270000
2025-09-10,VNM,92.8,94.2,92.0,93.5,300000
2025-09-11,VNM,93.5,94.8,92.5,94.1,320000
2025-09-12,VNM,94.1,95.5,93.2,94.8,280000
2025-09-13,VNM,94.8,96.2,94.0,95.5,310000
2025-09-16,VNM,95.5,96.8,94.5,96.1,290000
2025-09-17,VNM,96.1,97.5,95.2,96.8,330000
2025-09-18,VNM,96.8,98.2,96.0,97.5,270000
2025-09-19,VNM,97.5,98.8,96.5,98.1,300000
2025-09-20,VNM,98.1,99.5,97.2,98.8,320000
2025-09-23,VNM,98.8,100.2,98.0,99.5,280000
2025-09-24,VNM,99.5,100.8,98.5,100.1,310000
2025-09-25,VNM,100.1,101.5,99.2,100.8,290000
2025-09-26,VNM,100.8,102.2,100.0,101.5,330000
2025-09-27,VNM,101.5,102.8,100.5,102.1,270000
2025-09-30,VNM,102.1,103.5,101.2,102.8,300000
2025-10-01,VNM,102.8,104.2,102.0,103.5,320000
2025-10-02,VNM,103.5,104.8,102.5,104.1,280000
2025-10-03,VNM,104.1,105.5,103.2,104.8,310000
2025-10-04,VNM,104.8,106.2,104.0,105.5,290000
2025-10-07,VNM,105.5,106.8,104.5,106.1,330000
2025-10-08,VNM,106.1,107.5,105.2,106.8,270000
2025-10-09,VNM,106.8,108.2,106.0,107.5,300000
2025-10-10,VNM,107.5,108.8,106.5,108.1,320000
2025-10-11,VNM,108.1,109.5,107.2,108.8,280000
2025-10-14,VNM,108.8,110.2,108.0,109.5,310000
