date,Change,open,high,low,close,volume,Value,Market_Cap
2018-01-02,1.17,986.05,996.18,984.24,995.77,185285246.0,5605.48,2648603.45
2018-01-03,0.99,999.86,1010.21,995.77,1005.67,236216643.0,6230.89,2676084.71
2018-01-04,1.4,1009.37,1019.75,1005.67,1019.75,251786350.0,6099.1,2715278.54
2018-01-05,-0.7,1020.34,1020.6,1010.65,1012.65,281983216.0,7516.39,2734762.02
2018-01-08,1.01,1011.36,1022.9,1004.89,1022.9,267791885.0,7181.35,2761445.07
2018-01-09,1.04,1027.14,1033.56,1017.86,1033.56,319153690.0,7928.92,2790579.57
2018-01-10,0.44,1034.64,1045.63,1033.01,1038.11,373999707.0,9100.43,2802946.74
2018-01-11,0.97,1037.03,1049.73,1031.13,1048.17,314031903.0,7872.94,2829636.21
2018-01-12,0.19,1050.17,1057.88,1046.38,1050.11,350740790.0,9455.29,2835734.24
2018-01-15,1.27,1049.91,1063.47,1043.15,1063.47,292119041.0,7647.82,2873051.26
2018-01-16,-0.05,1059.36,1065.39,1052.43,1062.96,339774441.0,8230.26,2871754.9
2018-01-17,-2.66,1061.98,1064.77,1034.69,1034.69,332192428.0,8624.56,2795744.43
2018-01-18,1.5,1028.76,1050.25,1020.01,1050.25,280976139.0,7562.58,2846756.66
2018-01-19,1.13,1054.33,1067.21,1050.25,1062.07,341857498.0,9982.37,2878939.42
2018-01-22,2.3,1066.86,1086.51,1062.07,1086.51,264693040.0,7401.06,2950373.26
2018-01-23,0.0,1086.51,1086.51,1086.51,1086.51,,0.0,2950788.63
2018-01-24,0.0,1086.51,1086.51,1086.51,1086.51,,0.0,2950788.23
2018-01-25,1.66,1098.44,1117.08,1087.42,1104.57,509401981.0,14169.15,2997787.35
2018-01-26,1.0,1122.55,1122.6,1103.06,1115.64,291674120.0,9169.36,3028104.5
2018-01-29,-0.52,1121.78,1130.1,1109.8,1109.8,276156693.0,8086.94,3013355.77
2018-01-30,0.07,1099.98,1110.56,1092.44,1110.56,334896874.0,9274.44,3016162.58
2018-01-31,-0.02,1112.23,1128.1,1104.98,1110.36,349952858.0,9755.92,3015706.27
2018-02-01,-0.96,1111.74,1111.74,1090.25,1099.67,268030513.0,7011.0,2986607.77
2018-02-02,0.49,1098.66,1105.04,1091.1,1105.04,199521956.0,5912.55,3001508.7
2018-02-05,-5.1,1089.62,1105.04,1048.71,1048.71,281148550.0,8210.04,2849132.5
2018-02-06,-3.54,1026.08,1048.71,983.06,1011.6,480499989.0,15149.0,2748440.7
2018-02-07,2.86,1040.53,1048.54,1011.6,1040.55,240704851.0,6563.68,2827580.18
2018-02-08,-1.66,1031.46,1040.55,1023.25,1023.25,180931944.0,4749.22,2780487.2
2018-02-09,-1.89,991.09,1023.25,973.78,1003.94,241623614.0,6268.87,2728338.61
2018-02-12,3.77,1011.64,1041.79,1003.94,1041.79,170886474.0,5042.83,2830986.86
2018-02-13,1.72,1054.69,1060.48,1041.79,1059.73,173361750.0,4883.27,2880024.12
2018-02-21,2.59,1073.33,1092.65,1059.73,1087.15,177459756.0,5714.77,2954360.47
2018-02-22,-1.02,1087.15,1091.62,1074.27,1076.03,200002940.0,6083.98,2924466.44
2018-02-23,2.49,1086.81,1102.85,1076.03,1102.85,188357393.0,5969.44,2993290.76
2018-02-26,1.06,1115.9,1127.57,1102.85,1114.53,233918266.0,7396.13,3025391.91
2018-02-27,0.46,1124.03,1124.03,1106.77,1119.61,196356343.0,6209.05,3040254.92
2018-02-28,0.47,1110.3,1129.89,1109.89,1124.87,232098170.0,7802.33,3045581.1
2018-03-01,-0.81,1121.54,1128.38,1110.92,1115.79,226986330.0,7285.41,3030201.36
2018-03-02,0.49,1103.16,1121.91,1103.16,1121.21,209353770.0,6557.33,3045033.01
2018-03-05,-2.47,1121.21,1132.69,1093.48,1093.48,277434132.0,9723.82,2971690.18
2018-03-06,2.45,1093.48,1120.29,1091.67,1120.29,234353472.0,6946.23,3044438.5
2018-03-07,-0.72,1121.99,1126.67,1103.29,1112.26,278767365.0,7623.02,3022732.0
2018-03-08,1.07,1112.24,1126.35,1111.76,1124.15,198688740.0,5496.16,3055634.1
2018-03-09,-0.07,1128.73,1135.02,1119.18,1123.41,217075064.0,6898.94,3053916.79
2018-03-12,0.26,1135.37,1135.48,1123.41,1126.29,244001635.0,7402.56,3061866.95
2018-03-13,0.62,1127.53,1133.31,1118.49,1133.31,232375857.0,6831.4,3081224.75
2018-03-14,0.42,1135.99,1142.88,1133.31,1138.09,249528409.0,7015.47,3094716.22
2018-03-15,0.06,1134.51,1140.74,1129.66,1138.76,231979932.0,6620.99,3096628.64
2018-03-16,1.0,1144.54,1152.52,1138.76,1150.19,307956277.0,10686.67,3127716.76
2018-03-19,0.79,1160.74,1165.63,1150.19,1159.22,271697781.0,7524.3,3151839.1
2018-03-20,0.01,1154.48,1166.33,1154.48,1159.39,213407755.0,6256.09,3151851.76
2018-03-21,0.86,1166.51,1172.31,1159.39,1169.36,235134524.0,7058.83,3178711.38
2018-03-22,0.26,1175.22,1180.44,1169.36,1172.36,232653039.0,6562.07,3186790.28
2018-03-23,-1.6,1154.25,1172.36,1139.07,1153.59,261519280.0,7711.84,3135745.82
2018-03-26,1.53,1150.51,1176.95,1150.51,1171.22,211276764.0,7395.04,3183549.06
2018-03-27,0.04,1187.42,1187.42,1169.58,1171.73,237309392.0,6787.81,3185120.23
2018-03-28,0.04,1168.87,1179.18,1165.71,1172.24,208016445.0,6110.99,3186151.92
2018-03-29,-0.44,1174.73,1176.45,1164.12,1167.03,184296348.0,6511.13,3172050.44
2018-03-30,0.64,1169.29,1175.36,1158.49,1174.46,204495993.0,6163.83,3191663.95
2018-04-02,1.89,1180.26,1196.61,1174.46,1196.61,244220760.0,7882.95,3252012.52
2018-04-03,-0.7,1197.0,1199.93,1185.83,1188.29,254218487.0,7874.12,3229792.98
2018-04-04,0.27,1194.26,1200.71,1188.29,1191.54,237528440.0,8435.58,3238944.29
2018-04-05,0.14,1197.76,1199.15,1186.75,1193.17,240277929.0,7756.91,3243516.08
2018-04-06,0.57,1194.15,1202.59,1193.17,1199.96,249232629.0,7091.31,3262212.14
2018-04-09,0.36,1202.44,1207.45,1197.44,1204.33,250765345.0,7948.96,3275316.36
